,id,name,wgslng,wgslat,adname,cost,rating,type,bdlat,bdlng,WMlat,WMlng
25,B0FFIJ0VGE,海友酒店(上海大世界地铁站店),121.476817,31.231203999999998,黄浦区,[],3.6,住宿服务;宾馆酒店;经济型连锁酒店,31.235228406191784,121.48782157189827,13522737.411627514,3662811.926878721
26,B0FFGCEQZA,吉泰酒店(上海南京路外滩中心店),121.48096899999999,31.235931,黄浦区,[],3.4,住宿服务;宾馆酒店;经济型连锁酒店,31.240034633952153,121.4919342386327,13523199.610153288,3663427.3303026073
27,B00155LW4G,百时快捷酒店(人民广场淮海东路店),121.47766899999999,31.227753999999997,黄浦区,[],4.3,住宿服务;宾馆酒店;经济型连锁酒店,31.23170903071045,121.48868670626912,13522832.25583367,3662362.794247745
28,B00155KKGY,如家商旅酒店(上海南京东路外滩中心店),121.482125,31.235845,黄浦区,[],4.6,住宿服务;宾馆酒店;经济型连锁酒店,31.23994338862098,121.4930858222699,13523328.295484645,3663416.1337732323
29,B0FFFGQ3ZL,海友酒店(上海外滩南京路步行街店),121.47641000000002,31.236310999999997,黄浦区,[],3.8,住宿服务;宾馆酒店;经济型连锁酒店,31.240435734658593,121.48739170530675,13522692.104594765,3663476.8034613905
30,B0FFGNLK8Q,汉庭酒店(上海人民广场福州路店),121.476859,31.235946000000002,黄浦区,[],4.3,住宿服务;宾馆酒店;经济型连锁酒店,31.24006242917308,121.48784068355879,13522742.08704613,3663429.28318668
31,B00156GXM6,如家快捷酒店(上海人民广场福州路上海书城店),121.47660800000001,31.234655,黄浦区,[],4.2,住宿服务;宾馆酒店;经济型连锁酒店,31.23874732329915,121.4875967857589,13522714.14585394,3663261.2060990743
32,B00155LZRH,锦江之星酒店(上海人民广场淮海东路店),121.477632,31.227712,黄浦区,[],4.5,住宿服务;宾馆酒店;经济型连锁酒店,31.23166634020984,121.48865004953547,13522828.137012513,3662357.326647171
33,B0FFJ2IGB1,全季酒店(上海外滩金陵东路店),121.48286599999999,31.231257,黄浦区,[],4.6,住宿服务;宾馆酒店;经济型连锁酒店,31.23526387491702,121.49384569007937,13523410.783227323,3662818.826725291
34,B0GULUTH46,上海逸致公寓,121.480061,31.234296999999998,黄浦区,[],4.6,住宿服务;宾馆酒店;经济型连锁酒店,31.238371927742236,121.49103774414927,13523098.53205565,3663214.5979873445
35,B00157299G,如家精选酒店(上海外滩金陵东路店),121.47718300000001,31.229453999999997,黄浦区,[],4.6,住宿服务;宾馆酒店;经济型连锁酒店,31.233443225340697,121.48819454910563,13522778.154561145,3662584.1039296985
36,B0G25OYG6X,如家酒店·neo(上海外滩南京路步行街河南中路店),121.48135,31.235551,黄浦区,[],3.5,住宿服务;宾馆酒店;经济型连锁酒店,31.239646164618055,121.49231545370911,13523242.022879282,3663377.857342818
37,B0GD2LU2K7,海友酒店(上海外滩人民路店),121.47941100000001,31.228625,黄浦区,[],4.5,住宿服务;宾馆酒店;经济型连锁酒店,31.232591453067297,121.49041762832705,13523026.174386634,3662476.1824168544
38,B00156O860,汉庭酒店(外滩金陵东路店),121.47858000000001,31.229945,黄浦区,[],4.5,住宿服务;宾馆酒店;经济型连锁酒店,31.233939546903407,121.48958367331078,13522933.667889785,3662648.024114143
39,B0FFKLIG36,幸福公寓,121.48000900000001,31.234353999999996,黄浦区,[],4.7,住宿服务;宾馆酒店;经济型连锁酒店,31.238430193683662,121.49098568390494,13523092.74344213,3663222.0188201247
40,B0FFK76BGV,如家快捷酒店(金陵东路店),121.47711299999999,31.229411,黄浦区,[],[],住宿服务;宾馆酒店;经济型连锁酒店,31.233399601281732,121.48812502813709,13522770.36219679,3662578.50604749
41,B0HAL16A8K,海友酒店(永寿路店),121.476927,31.231275,黄浦区,[],[],住宿服务;宾馆酒店;经济型连锁酒店,31.2353004649464,121.48793080193482,13522749.656771503,3662821.1700702887
42,B0GU7CFCXA,浣溪沙精品酒店公寓,121.480171,31.234302000000003,黄浦区,[],3.5,住宿服务;宾馆酒店;经济型连锁酒店,31.23837668621987,121.49114727014417,13523110.777199637,3663215.2489374094
43,B0FFK1V8YZ,途掌柜·邓邓公寓(松下路分店),121.484315,31.235574,黄浦区,[],[],住宿服务;宾馆酒店;经济型连锁酒店,31.239660286962906,121.4952677817775,13523572.085169483,3663380.8517531455
44,B00155QDEI,汉庭酒店(上海外滩南京东路步行街店),121.47959399999999,31.240975,黄浦区,[],3.4,住宿服务;宾馆酒店;经济型连锁酒店,31.24517567731815,121.4905420316123,13523046.545853447,3664084.0376006537
