,id,name,wgslng,wgslat,adname,cost,rating,type,bdlat,bdlng,WMlat,WMlng
0,B0FFJBC1US,肯德基(和平店),121.471694,31.234821000000004,黄浦区,34.0,4.4,餐饮服务;快餐厅;肯德基,31.238930774707477,121.48270016866921,13522167.121876182,3663282.8177415435
1,B001552EVB,肯德基(福州店),121.47541499999998,31.235079,黄浦区,33.0,4.4,餐饮服务;快餐厅;肯德基,31.239183047528773,121.48640633634014,13522581.341701422,3663316.406996168
2,B00154DMEM,肯德基(三阳店),121.47383400000001,31.237663,黄浦区,47.0,4.2,餐饮服务;快餐厅;肯德基,31.241820806813273,121.48481912636437,13522405.34558648,3663652.8253662228
3,B00155KWQW,肯德基(南洋餐厅),121.475226,31.237818,黄浦区,23.0,4.1,餐饮服务;快餐厅;肯德基,31.241974651532022,121.4862052235658,13522560.302317664,3663673.00555326
4,B0FFF5TE50,肯德基(第一百货店),121.469826,31.237679999999997,黄浦区,35.0,4.3,餐饮服务;快餐厅;肯德基,31.241849410812886,121.48082518227267,13521959.17706738,3663655.0386754447
5,B0FFK03T10,肯德基(金钟店),121.47423300000001,31.227583000000003,黄浦区,37.0,4.4,餐饮服务;快餐厅;肯德基,31.231544928560137,121.48526465737837,13522449.762063308,3662340.5333177513
6,B0FFHOSHWM,肯德基(曼克顿店),121.477033,31.238073999999997,黄浦区,34.0,4.3,餐饮服务;快餐厅;肯德基,31.242230067081774,121.48800411094926,13522761.456637528,3663706.3354830584
7,B0FFKSV0MD,肯德基(南京西路店),121.46356999999999,31.232963,黄浦区,32.0,4.0,餐饮服务;快餐厅;肯德基,31.237058257038647,121.47461097190083,13521262.762332978,3663040.925740644
8,B00155HHEJ,肯德基(宝山路店),121.47226200000001,31.254597999999998,静安区,20.0,4.5,餐饮服务;快餐厅;肯德基,31.258998136200045,121.48319501854007,13522230.351346953,3665857.8694214793
9,B0FFIQUKTH,肯德基(利通广场店),121.479979,31.254561,虹口区,26.0,4.4,餐饮服务;快餐厅;肯德基,31.258938282350282,121.49088243094809,13523089.403857403,3665853.05135649
10,B0FFJPXSGO,肯德基(四川北路店),121.47801799999999,31.259589000000002,虹口区,32.0,4.2,餐饮服务;快餐厅;快餐厅,31.263998514815206,121.48892355057491,13522871.106335958,3666507.8046317645
11,B001557DOO,肯德基(天潼店),121.47835,31.246201,虹口区,33.0,4.4,餐饮服务;快餐厅;肯德基,31.250489365970928,121.48928250434176,13522908.064406903,3664764.477514102
12,B0G1HYJ7TS,肯德基(小陆家嘴店),121.49756699999999,31.240783,浦东新区,31.00,3.9,餐饮服务;快餐厅;快餐厅,31.24492235023143,121.50843631730639,13525047.291061476,3664059.0393771166
13,B0FFJ5FIVK,肯德基甜品站(外滩店),121.48596299999998,31.241752,黄浦区,[],5.0,餐饮服务;快餐厅;快餐厅,31.245946142086446,121.49688078212606,13523755.539690308,3664185.2028054628
14,B0FFHN1OWR,肯德基(外滩店),121.485974,31.241896999999998,黄浦区,46.00,4.4,餐饮服务;快餐厅;肯德基,31.246093580453543,121.49689112689511,13523756.764204709,3664204.0818611803
15,B0FFKZZVW1,肯德基(白玉兰广场店),121.49373,31.251356,虹口区,24.0,4.2,餐饮服务;快餐厅;肯德基,31.255660352883243,121.50457988630187,13524620.1581753,3665435.7099201805
16,B0FFJDYWMU,肯德基(陆家嘴中心店),121.511661,31.232681,浦东新区,31.00,4.0,餐饮服务;快餐厅;快餐厅,31.23662162809621,121.52250494906687,13526616.227964716,3663004.212731092
17,B0HGMX0GCV,肯德基(陆家嘴中心),121.51134099999999,31.232691,浦东新区,[],[],餐饮服务;快餐厅;肯德基,31.23663284228712,121.52218625424766,13526580.605727661,3663005.51460899
18,B0FFJC0JJQ,肯德基(八佰伴店),121.51276999999999,31.230613,浦东新区,35.00,4.2,餐饮服务;快餐厅;肯德基,31.234509696908937,121.52361926565102,13526739.681280006,3662734.987342379
19,B0FFHDV553,肯德基(八佰伴精选餐厅),121.512247,31.230081,浦东新区,24.00,4.1,餐饮服务;快餐厅;肯德基,31.233968986962413,121.52310100624037,13526681.461186321,3662665.729152687
20,B00155KNHZ,肯德基(浦南店),121.50956299999999,31.234296,浦东新区,37.00,4.3,餐饮服务;快餐厅;肯德基,31.238274827219286,121.52040814482356,13526382.679673031,3663214.467797335
21,B0FFKYLUN9,肯德基(96广场店),121.520199,31.229105,浦东新区,29.00,4.1,餐饮服务;快餐厅;肯德基,31.23294961528413,121.53102615888696,13527566.67377711,3662538.6700290455
22,B00154DFZ7,肯德基(乳山店),121.519425,31.238052000000003,浦东新区,32.00,4.4,餐饮服务;快餐厅;肯德基,31.24207181056626,121.53021242625246,13527480.512491234,3663703.471188671
23,B0FFL1L49Q,肯德基(百联世纪店),121.52260600000001,31.231744,浦东新区,34.00,4.4,餐饮服务;快餐厅;肯德基,31.235632953669665,121.53341176114805,13527834.61979145,3662882.227383418
24,B0G3ZZPPJK,肯德基(世纪大道店),121.50406699999999,31.236957,浦东新区,30.00,3.9,餐饮服务;快餐厅;快餐厅,31.24100482727043,121.5149238551596,13525770.867751632,3663560.908288037
25,B0FFK05I3I,肯德基(大连地铁站店),121.50719199999999,31.261245000000002,虹口区,38.0,4.2,餐饮服务;快餐厅;肯德基,31.265564761465015,121.5179671324709,13526118.741160361,3666723.458930652
26,B0FFLI2R36,肯德基(颛桥龙湖),121.52486200000001,31.233108,浦东新区,33.0,4.5,餐饮服务;快餐厅;快餐厅,31.237017181631646,121.53565338258436,13528085.75656268,3663059.803039981
